구분,성별,부위,순위,브랜드,아이템명,색상,이미지경로,이미지URL,디테일페이지URL
무신사,,남성_상의,1,파타고니아,멘즈 P-6 로고 리스판서빌리-티 / 38504R5,기본,무신사/남성/상의/01_파타고니아/멘즈 P-6 로고 리스판서빌리-티 _ 38504R5/기본.jpg,https://image.msscdn.net/images/goods_img/20260205/5984529/5984529_17708588233881_500.jpg,https://www.musinsa.com/products/5984529
무신사,,남성_상의,2,디미트리블랙,[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR,피그먼트 차콜,무신사/남성/상의/02_디미트리블랙/[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR/피그먼트 차콜.jpg,https://image.msscdn.net/thumbnails/images/goods/option-value/6238769/20260403170740_option_69cf754ce86e61.70131883.,https://www.musinsa.com/products/6238769
무신사,,남성_상의,2,디미트리블랙,[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR,(오버핏) 피그먼트 차콜,무신사/남성/상의/02_디미트리블랙/[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR/(오버핏) 피그먼트 차콜.jpg,https://image.msscdn.net/thumbnails/images/goods/option-value/6238769/20260612133937_option_6a2b8d89b595c8.91274601.,https://www.musinsa.com/products/6238769
무신사,,남성_상의,2,디미트리블랙,[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR,냉감 ver_화이트,무신사/남성/상의/02_디미트리블랙/[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR/냉감 ver_화이트.jpg,https://image.msscdn.net/thumbnails/images/goods/option-value/6238769/20260403170745_option_69cf755121ab73.40554856.,https://www.musinsa.com/products/6238769
무신사,,남성_상의,2,디미트리블랙,[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR,냉감ver_블랙,무신사/남성/상의/02_디미트리블랙/[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR/냉감ver_블랙.jpg,https://image.msscdn.net/thumbnails/images/goods/option-value/6238769/20260403170749_option_69cf755520ea76.97781762.,https://www.musinsa.com/products/6238769
무신사,,남성_상의,2,디미트리블랙,[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR,냉감ver_오트밀,무신사/남성/상의/02_디미트리블랙/[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR/냉감ver_오트밀.jpg,https://image.msscdn.net/thumbnails/images/goods/option-value/6238769/20260403170752_option_69cf7558351d32.23062405.,https://www.musinsa.com/products/6238769
무신사,,남성_상의,2,디미트리블랙,[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR,냉감ver_버건디,무신사/남성/상의/02_디미트리블랙/[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR/냉감ver_버건디.jpg,https://image.msscdn.net/thumbnails/images/goods/option-value/6238769/20260424160239_option_69eb158fa64911.06121598.,https://www.musinsa.com/products/6238769
무신사,,남성_상의,2,디미트리블랙,[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR,냉감ver_멜란지,무신사/남성/상의/02_디미트리블랙/[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR/냉감ver_멜란지.jpg,https://image.msscdn.net/thumbnails/images/goods/option-value/6238769/20260424160244_option_69eb159416b203.23190507.,https://www.musinsa.com/products/6238769
무신사,,남성_상의,2,디미트리블랙,[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR,냉감ver_세이지,무신사/남성/상의/02_디미트리블랙/[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR/냉감ver_세이지.jpg,https://image.msscdn.net/thumbnails/images/goods/option-value/6238769/20260424160247_option_69eb15975a3976.65137050.,https://www.musinsa.com/products/6238769
무신사,,남성_상의,3,언더오프,롤업 슬리브 크롭 반팔 티셔츠 블랙,기본,무신사/남성/상의/03_언더오프/롤업 슬리브 크롭 반팔 티셔츠 블랙/기본.jpg,https://image.msscdn.net/images/goods_img/20260602/6593921/6593921_17803822944311_500.jpg,https://www.musinsa.com/products/6593921
무신사,,남성_상의,4,디미트리블랙,VLAD 빈티지 ARCH 링거 티셔츠_2 COLOR,피그먼트 차콜,무신사/남성/상의/04_디미트리블랙/VLAD 빈티지 ARCH 링거 티셔츠_2 COLOR/피그먼트 차콜.jpg,https://image.msscdn.net/thumbnails/images/goods/option-value/6197077/20260514121858_option_6a053f22b7c1e2.74523164.,https://www.musinsa.com/products/6197077
